id,prediction
0,0
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,1
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,1
457,1
458,0
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,1
493,0
494,0
495,1
496,0
497,1
498,0
499,0
